Weather_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,23.09,100,40,2.06,scattered clouds
1,Klaksvik,FO,62.2266,-6.589,9.51,77,1,18.31,clear sky
2,Ushuaia,AR,-54.8,-68.3,12.79,62,20,0.51,few clouds
3,Noyabrsk,RU,63.1994,75.4507,4.14,84,100,5.48,overcast clouds
4,Virginia Beach,US,36.8529,-75.978,12.25,91,100,5.14,overcast clouds
5,Xixiang,CN,35.1628,112.865,8.02,81,100,0.98,overcast clouds
6,Kapuskasing,CA,49.4169,-82.4331,15.84,71,98,2.36,overcast clouds
7,Yulara,AU,-25.2406,130.9889,16.5,48,0,4.36,clear sky
8,Mataura,NZ,-46.1927,168.8643,1.29,99,100,2.08,snow
9,Lorengau,PG,-2.0226,147.2712,27.59,80,99,4.32,overcast clouds
10,Buala,SB,-8.145,159.5921,26.75,77,98,4.08,overcast clouds
11,Kapaa,US,22.0752,-159.319,25.18,85,75,6.17,light rain
12,Sale,MA,34.0389,-6.8166,27.02,69,40,5.14,scattered clouds
13,Kolondieba,ML,11.0882,-6.8926,31.66,64,80,1.17,broken clouds
14,Mlimba,TZ,-8.8,35.8167,26.63,36,25,1.63,scattered clouds
15,Sechura,PE,-5.5569,-80.8222,24.19,55,52,5.01,broken clouds
16,Isangel,VU,-19.55,169.2667,21.82,72,8,4.79,clear sky
17,Port Hardy,CA,50.6996,-127.4199,11.1,100,100,1.03,fog
18,Albany,US,42.6001,-73.9662,15.7,53,98,2.37,overcast clouds
19,Yarada,IN,17.65,83.2667,27.18,89,40,1.03,mist
20,Butembo,CD,0.15,29.2833,14.55,98,99,0.88,moderate rain
21,Port Alfred,ZA,-33.5906,26.891,18.43,74,3,3.56,clear sky
22,Fare,PF,-16.7,-151.0167,25.14,78,13,10.64,light rain
23,Socorro,US,31.6546,-106.3033,26.38,43,75,1.54,broken clouds
24,Bairiki,KI,1.3292,172.9752,27.0,83,20,2.57,few clouds
25,Jamestown,US,42.097,-79.2353,16.12,38,0,4.12,clear sky
26,Rikitea,PF,-23.1203,-134.9692,20.88,65,64,11.44,broken clouds
27,Qaanaaq,GL,77.484,-69.3632,-7.78,75,99,2.04,overcast clouds
28,Clyde River,CA,70.4692,-68.5914,-2.52,90,100,7.39,light snow
29,Roebourne,AU,-20.7833,117.1333,22.78,60,5,3.31,clear sky
30,Hermanus,ZA,-34.4187,19.2345,14.11,65,0,3.17,clear sky
31,Tasiilaq,GL,65.6145,-37.6368,5.09,68,87,3.15,overcast clouds
32,Emilio Carranza,MX,19.9711,-96.6114,27.5,65,78,4.86,broken clouds
33,Avera,US,33.194,-82.5271,21.97,38,0,2.36,clear sky
34,Sarangani,PH,5.4033,125.4636,28.58,77,66,6.67,broken clouds
